yearam,slaximp
1514,236.5
1516,400
1525,300
1526,461.971831
1527,64.78873239
1532,692
1534,450
1535,437.4788732
1544,200
1545,1689
1546,982
1547,1078
1548,1773
1549,3676.978873
1550,1790
1556,94
1557,436.5
1559,172
1562,236.4788732
1563,300
1564,236.5
1565,400
1566,350
1567,462.5352113
1568,603
1570,228.4
1571,58.97771953
1572,344
1574,474.7091243
1575,711.1956522
1576,90.2173913
1577,208.4507042
1578,236.5
1579,8261.971831
1580,549.2957746
1581,3505.633803
1582,1785.71831
1583,2125.232394
1584,1157.974648
1585,880.5595775
1586,1379.628169
1587,3199.761773
1588,2320.357746
1589,3057.25662
1590,1645.778873
1591,713.8877465
1592,945.915493
1593,1745.5
1594,754.9
1595,6784.425352
1596,4827.927565
1597,6223.04507
1598,7574.143662
1599,9172.838028
1600,7591.712777
1601,8172.811268
1602,1655.5
1603,946
1604,2193.740845
1605,2454.647887
1606,1926.394366
1607,515.4929577
1608,5715.760563
1609,8889.625352
1610,8831.344085
1611,3952.55493
1612,3031.078873
1613,2272.049296
1614,1373.6
1615,2874.33662
1616,7473.3
1617,6958.709859
1618,7321.538028
1619,16906.74775
1620,15069.51516
1621,17380.58531
1622,10288.99745
1623,7497.464789
1624,7575.559963
1625,7953.485915
1626,3674.413198
1627,5516.925384
1628,3307.921127
1629,1995.587324
1630,2997.734493
1631,4469.938028
1632,2880.579656
1633,3713.889828
1634,4875.357746
1635,8100.283099
1636,7142.686248
1637,4874.307042
1638,9216.274648
1639,5141.45493
1640,2286.46338
1641,3045.412676
1642,3701.8
1643,6857.762657
1644,9939.603902
1645,8148.879338
1646,8024.131832
1647,3636.519519
1648,700.9
1649,2879.292843
1650,3276.204101
1651,4777.242673
1652,4424.200934
1653,3036.353885
1654,4267.761028
1655,2183.750811
1656,6154.116009
1657,4849.126247
1658,7576.944722
1659,8306.903339
1660,4779.538156
1661,5696.841545
1662,5479.459008
1663,7278.010012
1664,15074.20473
1665,10908.20951
1666,6676.751143
1667,7055.809537
1668,8834.408008
1669,11720.23942
1670,8087.646062
1671,12287.21545
1672,8446.270411
1673,4592.185978
1674,9943.754721
1675,9242.278125
1676,11165.19945
1677,11305.00379
1678,12478.75018
1679,16597.76019
1680,18008.03447
1681,23863.77068
1682,18547.61197
1683,20975.52338
1684,15946.39357
1685,18725.67549
1686,18859.34084
1687,21502.02264
1688,18152.30643
1689,12130.14045
1690,8650.917538
1691,14390.73179
1692,14939.85988
1693,16007.18102
1694,13544.24923
1695,13624.13342
1696,14855.59231
1697,18664.64985
1698,33642.89494
1699,34523.38729
1700,40285.79891
1701,45523.31166
1702,32922.23928
1703,22286.34334
1704,26197.47278
1705,28400.13592
1706,20832.6996
1707,22398.43252
1708,28671.16811
1709,19601.76945
1710,27900.12914
1711,25660.91628
1712,26278.69088
1713,29267.34529
1714,38005.0039
1715,37696.844
1716,35788.82087
1717,35458.40078
1718,38918.60191
1719,40491.02551
1720,36879.74023
1721,34490.02055
1722,37984.6943
1723,37912.04174
1724,59522.9698
1725,54910.22783
1726,57631.18863
1727,55403.23337
1728,55662.98855
1729,62947.51179
1730,54193.61285
1731,57958.72338
1732,52179.3423
1733,46134.1227
1734,51938.77843
1735,41064.81884
1736,49429.65604
1737,61084.96621
1738,55507.65277
1739,58990.60704
1740,60514.3754
1741,58372.6421
1742,60654.13613
1743,48489.3303
1744,69871.00715
1745,28681.01713
1746,28507.81237
1747,53748.81851
1748,54139.22691
1749,65234.52446
1750,66876.17323
1751,55047.82453
1752,63979.80623
1753,64565.68763
1754,65505.88424
1755,73033.07282
1756,54974.63163
1757,41344.61246
1758,51753.4971
1759,42956.04022
1760,53924.35598
1761,57678.10996
1762,55170.51713
1763,55382.32754
1764,79326.65495
1765,82694.88502
1766,91917.76401
1767,84462.24326
1768,77747.96147
1769,77924.71773
1770,85778.0358
1771,83504.07634
1772,82305.88166
1773,76139.09192
1774,91694.57887
1775,90293.67852
1776,78616.53377
1777,57951.77221
1778,49436.78146
1779,27605.1819
1780,31563.36803
1781,40036.92012
1782,48617.31348
1783,55330.56915
1784,96412.1446
1785,83812.2046
1786,82237.71187
1787,88387.35386
1788,89956.62936
1789,85720.52673
1790,95714.23209
1791,96389.10355
1792,95569.07773
1793,87400.54336
1794,62996.07917
1795,63933.02722
1796,63631.31984
1797,68558.92244
1798,66284.10661
1799,82875.12045
1800,81860.83892
1801,76848.32091
1802,93158.48857
1803,94194.6071
1804,84336.02623
1805,84529.5758
1806,95149.16102
1807,99830.10197
1808,38573.24896
1809,36137.25477
1810,62060.06225
1811,56590.11493
1812,59528.05511
1813,48973.30971
1814,52012.50987
1815,56873.84976
1816,74932.49503
1817,86807.62461
1818,84611.62701
1819,74225.85468
1820,69517.8077
1821,70275.13195
1822,83356.36915
1823,48029.48589
1824,62309.90093
1825,81676.01042
1826,91408.41786
1827,86881.66159
1828,89008.77133
1829,112542.4162
1830,82850.79509
1831,24431.11352
1832,21377.8039
1833,21653.39524
1834,30267.56658
1835,44906.36959
1836,59883.32186
1837,77805.22415
1838,83329.43008
1839,94305.67537
1840,67574.86003
1841,49636.83882
1842,38366.17354
1843,36334.22176
1844,43029.19527
1845,33940.54142
1846,22148.41784
1847,30175.95621
1848,55140.86234
1849,78922.32657
1850,42226.61038
1851,18014.27386
1852,10567.83305
1853,17567.81895
1854,14776.16034
1855,6204.366056
1856,9413.172173
1857,15426.46788
1858,19071.10855
1859,35800.29031
1860,27735.84263
1861,23158.10805
1862,14594.93819
1863,7916.44186
1864,5049.803155
1865,2197.412125
1866,850.5467801
